age,monthly_income,employment_years,credit_score,existing_emi,loan_amount,loan_term_months,employment_type,city_tier,loan_approved
44,44715,4,695,22754,1253722,72,Salaried,Tier 2,1
53,45605,12,790,20799,592112,24,Salaried,Tier 2,1
44,117853,17,786,38727,568534,72,Self-employed,Tier 1,1
31,49174,4,584,9107,1982159,12,Salaried,Tier 2,0
28,159028,15,739,5993,98926,24,Salaried,Tier 2,1
56,94373,18,550,30805,1266508,60,Self-employed,Tier 2,0
58,87252,13,702,28114,325119,84,Self-employed,Tier 2,1
60,211021,15,675,37789,911309,84,Self-employed,Tier 2,1
40,211718,14,775,46314,1847613,60,Self-employed,Tier 1,1
55,88017,3,770,42942,1962878,72,Salaried,Tier 1,1
45,81037,6,760,16138,1868317,60,Self-employed,Tier 2,1
55,107818,15,574,44527,1704235,60,Salaried,Tier 2,0
45,24548,20,565,9190,731908,48,Self-employed,Tier 1,0
49,134981,20,731,26723,413114,12,Salaried,Tier 3,1
38,222366,7,678,12886,533791,84,Self-employed,Tier 1,1
38,172249,16,591,16779,1720930,48,Salaried,Tier 3,1
22,42022,15,785,28174,744096,60,Salaried,Tier 2,1
55,124297,9,583,29086,111562,36,Self-employed,Tier 2,1
36,154614,9,594,17322,1401129,48,Salaried,Tier 1,1
56,240084,1,683,42596,846266,60,Salaried,Tier 2,1
53,245392,8,570,35278,1725056,84,Salaried,Tier 3,1
24,78428,16,671,18033,575128,60,Salaried,Tier 3,1
53,171812,10,619,20074,784769,12,Self-employed,Tier 1,1
34,77353,9,597,3435,81568,72,Salaried,Tier 3,1
41,239425,16,588,35969,847278,24,Salaried,Tier 1,1
40,131132,3,836,28942,711259,48,Self-employed,Tier 1,1
28,205604,15,559,29059,660326,48,Self-employed,Tier 3,1
27,34052,19,579,47921,1295749,48,Self-employed,Tier 3,0
23,118689,14,793,32826,1006277,60,Salaried,Tier 3,1
37,196148,20,823,30297,179789,12,Salaried,Tier 3,1
53,202492,4,637,43890,1468180,60,Self-employed,Tier 3,1
32,149743,5,793,21322,551994,60,Salaried,Tier 3,1
42,18163,16,564,35739,124723,72,Self-employed,Tier 3,1
42,59424,0,553,9719,813043,36,Salaried,Tier 2,0
50,202816,18,740,14017,416338,12,Self-employed,Tier 1,1
58,219403,3,717,8314,1996425,48,Salaried,Tier 1,1
58,159706,16,558,28295,971815,24,Self-employed,Tier 3,0
28,153870,8,658,9628,1863686,48,Salaried,Tier 1,1
47,40420,1,686,42122,1679752,60,Self-employed,Tier 3,0
47,138575,7,703,11492,1926624,12,Salaried,Tier 2,0
54,47300,14,758,36113,757494,84,Salaried,Tier 1,1
41,107881,6,821,15357,1583017,12,Salaried,Tier 1,1
50,28749,5,692,33329,842515,12,Self-employed,Tier 2,0
53,122131,0,648,20365,1766534,36,Salaried,Tier 2,0
48,174193,14,618,39029,1443196,48,Salaried,Tier 2,1
53,146563,6,796,1737,1085211,36,Salaried,Tier 1,1
25,55487,16,810,9096,142416,84,Self-employed,Tier 1,1
39,243019,1,825,19938,1887588,84,Salaried,Tier 2,1
24,182433,8,628,12682,697122,72,Self-employed,Tier 2,1
55,39223,8,695,27499,1735012,24,Salaried,Tier 2,0
37,90930,12,660,44491,1811331,72,Self-employed,Tier 2,1
48,163128,5,807,44866,1927329,60,Self-employed,Tier 2,1
50,46380,5,642,41894,845818,36,Salaried,Tier 3,1
49,44035,19,562,46157,365315,36,Self-employed,Tier 2,0
26,48620,19,809,41034,200594,72,Self-employed,Tier 3,1
55,168949,20,658,294,770892,60,Salaried,Tier 1,1
57,204388,2,738,32536,534976,12,Self-employed,Tier 1,1
44,213113,16,644,24596,1132121,60,Self-employed,Tier 3,1
49,135360,16,654,32649,235151,48,Self-employed,Tier 2,1
51,71352,11,557,11434,1911863,72,Self-employed,Tier 1,0
55,179983,15,616,38098,85790,60,Salaried,Tier 2,1
53,181856,14,740,4655,625300,12,Self-employed,Tier 2,1
41,21191,12,805,17493,167827,60,Self-employed,Tier 3,1
52,182232,0,558,46228,1079625,36,Salaried,Tier 1,0
43,108536,16,666,3771,1358699,24,Salaried,Tier 1,1
53,122576,2,816,8563,1112836,36,Self-employed,Tier 3,1
23,213713,14,648,17558,246211,84,Salaried,Tier 2,1
38,198795,3,847,33932,1886082,24,Salaried,Tier 2,1
45,21631,3,713,42243,485892,84,Salaried,Tier 1,1
51,155244,17,690,26567,190547,60,Salaried,Tier 3,1
23,60080,16,817,32376,1308062,48,Salaried,Tier 3,1
60,238169,18,586,21922,196192,60,Salaried,Tier 2,1
44,108353,10,623,12388,1514939,12,Salaried,Tier 2,0
52,169353,19,622,29332,314130,60,Salaried,Tier 3,1
42,46671,2,748,46737,1863065,24,Salaried,Tier 1,1
43,140811,7,679,23495,737790,36,Self-employed,Tier 2,1
22,200503,13,795,8434,812857,48,Self-employed,Tier 3,1
47,239972,0,609,20991,1154055,84,Self-employed,Tier 3,1
22,145734,13,828,27472,1574758,60,Self-employed,Tier 3,1
46,242033,1,652,40030,442977,60,Self-employed,Tier 1,1
37,177674,3,845,26849,1362896,36,Salaried,Tier 2,1
60,237861,18,700,1541,658546,48,Salaried,Tier 2,1
53,69399,5,706,2765,1337999,72,Self-employed,Tier 2,1
29,172544,0,755,43074,427332,84,Self-employed,Tier 1,1
59,198302,16,728,37259,134153,60,Salaried,Tier 2,1
49,222688,7,746,29283,1815854,60,Self-employed,Tier 2,1
46,25099,18,772,35851,833930,72,Salaried,Tier 2,1
55,174503,20,638,34625,470331,84,Self-employed,Tier 2,1
45,74492,0,836,769,808272,24,Salaried,Tier 1,1
44,114722,4,825,17806,1176018,24,Self-employed,Tier 3,1
33,196756,15,785,24982,1925010,12,Salaried,Tier 3,1
27,48111,5,732,2972,1155700,36,Self-employed,Tier 2,0
56,81936,7,758,18256,361896,48,Self-employed,Tier 2,1
40,171686,12,679,38367,1358064,60,Salaried,Tier 2,1
21,241332,15,702,18653,128947,84,Salaried,Tier 1,1
28,191063,2,562,38043,911148,60,Self-employed,Tier 2,1
36,219548,18,671,21133,491209,12,Self-employed,Tier 1,1
34,78920,11,769,39339,1895081,84,Salaried,Tier 2,1
32,243366,15,655,25757,1922259,84,Salaried,Tier 2,1
43,81530,10,619,37840,146496,60,Salaried,Tier 3,1
35,185296,9,744,42399,1825373,36,Self-employed,Tier 2,1
48,25788,19,735,44013,875329,12,Self-employed,Tier 1,1
54,46082,3,648,32069,1018410,36,Salaried,Tier 3,0
22,141287,11,631,14706,363760,12,Self-employed,Tier 1,1
52,107570,1,624,38231,1360613,60,Self-employed,Tier 3,1
43,119015,18,741,27909,551935,12,Salaried,Tier 1,1
42,225888,4,763,40218,1889490,24,Self-employed,Tier 3,1
45,101588,7,693,11095,420134,84,Salaried,Tier 1,1
42,165603,6,765,20343,1320612,48,Salaried,Tier 1,1
42,106340,13,564,26469,1564728,60,Self-employed,Tier 2,0
26,112439,2,766,1313,744934,72,Self-employed,Tier 3,1
35,193929,17,584,7847,1090835,48,Salaried,Tier 3,1
57,159214,15,732,9166,1928292,60,Salaried,Tier 2,1
53,133053,18,819,9930,385076,48,Salaried,Tier 1,1
28,66355,18,649,3285,319482,24,Self-employed,Tier 1,1
25,158938,17,556,35863,1272366,48,Salaried,Tier 3,0
59,219139,19,579,16704,1242148,12,Salaried,Tier 1,1
24,143426,15,693,18705,192617,48,Salaried,Tier 3,1
26,82027,7,660,555,635768,60,Salaried,Tier 3,1
52,206978,0,781,21323,710601,72,Self-employed,Tier 1,1
50,177210,16,728,5432,1318962,72,Self-employed,Tier 1,1
55,110601,11,621,1386,990325,36,Salaried,Tier 1,1
60,47956,20,759,44007,54695,84,Self-employed,Tier 2,1
36,122797,10,769,10619,782426,48,Self-employed,Tier 3,1
33,142917,4,629,6854,1080120,72,Self-employed,Tier 1,0
50,144303,11,632,42964,1084780,48,Salaried,Tier 2,0
39,225367,16,591,48801,1637182,84,Self-employed,Tier 1,0
37,154511,5,822,7637,887366,72,Self-employed,Tier 3,1
39,196313,0,740,21225,1514123,84,Salaried,Tier 2,1
48,60533,4,722,45730,1482002,48,Salaried,Tier 3,0
46,177342,13,556,26739,1806608,60,Self-employed,Tier 1,0
57,96815,4,704,47708,1190467,48,Self-employed,Tier 1,1
46,57279,0,559,10618,520076,84,Salaried,Tier 1,0
43,127787,17,583,36561,799045,60,Salaried,Tier 2,0
29,172960,15,585,7373,1167330,60,Salaried,Tier 2,1
32,166702,8,555,35281,922109,36,Salaried,Tier 2,0
21,79063,18,764,20187,1987328,72,Self-employed,Tier 2,1
21,145896,4,683,2327,1494629,12,Salaried,Tier 1,1
54,184216,1,834,32391,437405,60,Self-employed,Tier 1,1
52,201233,14,675,41577,563904,84,Self-employed,Tier 1,1
45,245790,6,723,18549,1082120,72,Self-employed,Tier 2,1
60,240146,3,701,39220,417482,24,Salaried,Tier 2,1
21,226432,0,575,7642,614365,48,Salaried,Tier 1,1
36,200051,12,664,14435,392059,84,Self-employed,Tier 1,1
59,115661,19,833,33760,1758175,24,Self-employed,Tier 2,1
25,156051,6,624,38192,1340080,84,Self-employed,Tier 3,1
42,175261,14,715,4381,1053852,48,Self-employed,Tier 1,1
49,191672,13,738,31047,1390389,36,Self-employed,Tier 1,1
23,208632,18,627,19558,885056,84,Salaried,Tier 1,1
32,227112,19,639,30782,1960155,60,Salaried,Tier 2,1
46,141257,17,725,4782,1758086,12,Salaried,Tier 1,1
36,210630,9,570,25881,1765045,60,Self-employed,Tier 1,1
57,104205,8,603,40228,1853686,48,Self-employed,Tier 1,1
42,24910,7,733,29409,731376,84,Salaried,Tier 1,1
49,206785,9,771,19462,1765872,12,Salaried,Tier 1,1
34,64857,16,728,2983,192108,60,Self-employed,Tier 3,1
48,52964,1,825,31933,1006740,12,Salaried,Tier 3,1
25,234739,5,661,46950,1243669,48,Salaried,Tier 1,1
50,174299,4,773,2523,1612270,36,Salaried,Tier 1,1
25,155050,8,763,9677,873375,36,Self-employed,Tier 1,1
32,236599,4,608,10292,163694,84,Self-employed,Tier 1,1
36,35153,17,658,15089,284456,60,Salaried,Tier 2,1
46,77765,19,706,4581,262079,24,Self-employed,Tier 2,1
46,248156,8,740,11907,1342845,48,Salaried,Tier 2,1
41,126212,16,749,5609,493232,60,Salaried,Tier 3,1
59,57071,16,745,44143,466460,60,Self-employed,Tier 1,1
56,130990,11,584,22936,1554819,36,Self-employed,Tier 2,0
53,87519,6,795,42725,1868249,84,Self-employed,Tier 1,1
50,27503,2,786,45723,173351,12,Salaried,Tier 1,1
57,209775,9,653,33988,351129,48,Salaried,Tier 3,1
43,213451,1,556,29506,1071480,12,Salaried,Tier 3,0
30,113457,2,832,13163,890268,72,Self-employed,Tier 2,1
25,206938,15,550,46057,1984722,72,Salaried,Tier 2,0
56,165977,1,768,12537,1626634,48,Salaried,Tier 3,1
54,63838,9,779,22419,879297,84,Salaried,Tier 3,1
51,143200,5,721,42578,103811,24,Salaried,Tier 1,1
30,207351,10,636,9455,316145,72,Self-employed,Tier 1,1
39,107489,6,590,9063,1683712,36,Self-employed,Tier 2,0
52,44806,14,672,834,102635,24,Self-employed,Tier 2,1
21,194072,5,847,32214,70946,60,Salaried,Tier 3,1
25,171240,19,727,27398,1033638,72,Salaried,Tier 2,1
24,88119,8,612,34492,670140,36,Salaried,Tier 1,1
36,56714,19,714,2413,1451823,60,Self-employed,Tier 3,1
44,203165,11,736,9505,535260,24,Self-employed,Tier 1,1
36,73419,18,758,37266,1928752,48,Self-employed,Tier 3,1
22,198217,19,776,2105,1216305,60,Self-employed,Tier 3,1
48,123432,2,597,2568,744519,12,Self-employed,Tier 1,1
52,226497,14,773,42098,1384391,48,Salaried,Tier 2,1
47,110949,1,552,49361,721810,48,Self-employed,Tier 2,0
40,226883,20,724,37679,1549067,24,Self-employed,Tier 2,1
44,151533,1,648,49385,1011862,24,Self-employed,Tier 2,0
32,163363,2,665,33560,1527310,36,Salaried,Tier 1,1
55,195876,5,819,14195,1418533,36,Self-employed,Tier 3,1
53,94971,14,802,46669,146748,12,Self-employed,Tier 1,1
53,111471,9,644,15762,1862156,48,Self-employed,Tier 2,1
57,82946,8,822,41294,1498598,84,Salaried,Tier 2,1
32,116989,0,573,15898,679021,12,Salaried,Tier 1,1
23,102080,15,665,21577,1008395,12,Self-employed,Tier 3,1
21,210404,5,700,1214,1225441,84,Self-employed,Tier 1,1
53,95794,8,599,20803,1444271,84,Self-employed,Tier 1,0
60,48841,3,755,48114,965767,84,Self-employed,Tier 1,1
30,142447,1,628,23698,351364,24,Salaried,Tier 3,1
49,138029,3,619,32980,1377878,12,Self-employed,Tier 1,0
33,197830,0,576,1658,917424,12,Salaried,Tier 1,1
32,94272,18,820,12270,995092,60,Self-employed,Tier 2,1
51,55643,9,599,46797,1685440,84,Salaried,Tier 1,0
22,199480,20,841,37792,1973035,84,Salaried,Tier 2,1
